Reference, Value, Footprint, DNP, Manufacturer, Manufacturer Part Number, Supplier 1, Supplier 1 Part Number, MacroFab Part Number,Column1
C1,10uF,Capacitors_SMD:C_1206,,Samsung,CL31A106MBHNNNE,,,,
C10,0.1uF,Capacitors_SMD:C_0603,,Yageo,CC0603KRX7R9BB103,Digikey,311-1085-1-ND,,
C11,1000pF,Capacitors_SMD:C_0603,,,,,,MF-CAP-0603-1nF,
C12,1uF,Capacitors_SMD:C_0603,,,,,,MF-CAP-0603-1uF,
C13,0.1uF,Capacitors_SMD:C_0603,,,,,,MF-CAP-0603-0.1uF,
C14,100uF,Capacitors_SMD:C_1206,,Murata,GRM31CR60J107ME39L,,,,
C15,100uF,Capacitors_SMD:C_1206,,Murata,GRM31CR60J107ME39L,,,,
C16,4700pF,Capacitors_SMD:C_0603,,,,,,MF-CAP-0603-4.7nF,
C17,1000pF,Capacitors_SMD:C_0603,,,,,,MF-CAP-0603-1nF,
C18,0.1uF,Capacitors_SMD:C_0603,,,,,,MF-CAP-0603-0.1uF,
C2,10uF,Capacitors_SMD:C_1206,,Samsung,CL31A106MBHNNNE,,,,
C3,10uF,Capacitors_SMD:C_1206,,Samsung,CL31A106MBHNNNE,,,,
C4,0.1uF,Capacitors_SMD:C_0603,,,,,,MF-CAP-0603-0.1uF,
C5,DNP,Capacitors_SMD:C_0805,,,,,,MF-CAP-0805-0.1uF,
C6,0.1uF,Capacitors_SMD:C_0603,,Yageo,CC0603KRX7R7BB104,Digikey,311-1088-1-ND,,
C7,0.1uF,Capacitors_SMD:C_0603,,Yageo,CC0603KRX7R7BB104,Digikey,311-1088-1-ND,,
C8,0.1uF,Capacitors_SMD:C_0603,,Yageo,CC0603KRX7R7BB104,Digikey,311-1088-1-ND,,
C9,0.1uF,Capacitors_SMD:C_0603,,Yageo,CC0603KRX7R9BB103,Digikey,311-1085-1-ND,,
J1,BARREL_JACK,Reclaimer_Labs:BARREL_JACK_PJ_202AH_Slots,,CUI,PJ-202AH,Digikey,CP-202AH-ND,,
J2,CONN_01X01,Reclaimer_Labs:3547,,Keystone,3547,Digikey,36-3547-ND,,
J3,CONN_01X01,Reclaimer_Labs:3547,,Keystone,3547,Digikey,36-3547-ND,,
J4,CONN_01X01,Reclaimer_Labs:3547,,Keystone,3547,Digikey,36-3547-ND,,
J5,CONN_01X01,Reclaimer_Labs:3547,,Keystone,3547,Digikey,36-3547-ND,,
J6,CONN_01X06,Socket_Strips:Socket_Strip_Straight_1x06,,,,,,,
J7,CONN_02X08,Reclaimer_Labs:HEADER_THRU_02x08_POL,,Sullins,SFH11-PBPC-D08-ST-BK,Digikey,S9196-ND,,
J8,CONN_01X06,Socket_Strips:Socket_Strip_Straight_1x06,,,,,,,
J9,CONN_01X03,Socket_Strips:Socket_Strip_Straight_1x03,,,,,,,
L1,1.5uH,Reclaimer_Labs:SRR1270,,Bourns,SRP1270-1R5M,,,,
Q1,Photo_Trans,Reclaimer_Labs:Photo_Trans_0805,,Rohm,RPM-075PTT86,Digikey,511-1356-1-ND,,
R1,100R,Capacitors_SMD:C_0603,,Samsung,RC1608F101CS,Digikey,1276-3482-1-ND,,
R10,100k,Capacitors_SMD:C_0603,,,,,,MF-RES-0603-100K,
R11,0R,Capacitors_SMD:C_0603,,,,,,MF-RES-0603-0,
R12,100k,Capacitors_SMD:C_0603,,,,,,MF-RES-0603-100K,
R13,1R,Capacitors_SMD:C_0603,,Panasonic,ERJ-3RQF1R0V,,,,
R14,10k,Capacitors_SMD:C_0603,,,,,,MF-RES-0603-10K,
R2,10k,Capacitors_SMD:C_0603,,Samsung,RC1608F103CS,Digikey,1276-3485-1-ND,,
R3,470k,Capacitors_SMD:C_0603,,,,,,MF-RES-0603-470K,
R4,10k,Capacitors_SMD:C_0603,,,,,,MF-RES-0603-10K,
R5,73k2,Capacitors_SMD:C_0603,,Yageo,RC0603FR-0773K2L,,,,
R6,10k,Capacitors_SMD:C_0603,,,,,,MF-RES-0603-10K,
R7,45k3,Capacitors_SMD:C_0603,,Panasonic,ERJ-3EKF4532V,,,,
R8,866k,Capacitors_SMD:C_0603,,Panasonic,ERJ-3EKF8663V,,,,
R9,1k,Capacitors_SMD:C_0603,,,,,,MF-RES-0603-1K,
U1,PHOTON,Reclaimer_Labs:PHOTON,DNP,,,,,,
U2,LC4032V-44TQFP,Reclaimer_Labs:QFP_44,,Lattice,LC4032V-75TN44C,Digikey,220-1034-ND,,
U3,TPS53219A,Reclaimer_Labs:PVQFN-16-EP,,TI,296-36800-1-ND,,,,
U4,CSD87351Q5D,Reclaimer_Labs:CSD87351Q5D,,TI,CSD87351Q5D,,,,
X1,MTHOLE,Reclaimer_Labs:MountingHole_3.5mm_Pad_Via,,,,,,,
X2,MTHOLE,Reclaimer_Labs:MountingHole_3.5mm_Pad_Via,,,,,,,
X3,MTHOLE,Reclaimer_Labs:MountingHole_3.5mm_Pad_Via,,,,,,,
